CORE_ID,SOURCE_SITEID,SOURCE_SUB,LATITUDE,LONGITUDE,LOC_SOURCE_FORMAT,LOC_ACCURACY_NOTES,PROV_TERR,SAMPLING_YR,SAMPLING_MONTH,SAMPLING_DATE,SAMPLING_ST,CSSC_CODE,CSSC_ORDER,CSSC_GREAT_GROUP,CSSC_GGSG,ORG_DEPTH,BASE_Y_N,BASE_RSR,PERC_BD_MEAS,PERC_C_MEAS,PERMAFROST,ACTIVE_DPT,WT_DEPTH,ORG_C_MGHA,CWCS_CLASS,FEN_TYPE,CWCS_FORM,CWCS_TYPE,TREED,CORE_POSITION,DISTURBANCE,MICROFORM,OTHER_DESC,VEGETATION
1,Z-1970-1,Z-1970-1,54.82,-102.02,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",SK,1970,,,ZMX,,,,,338,Y,,100,0,Y,46,,1968.1,bog,,peat plateau,treed : coniferous,Y,,,,,Sphagnum; Rhododendron groenlandicum
2,Z-1970-2,Z-1970-2,54.87,-102.08,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",SK,1970,,,ZMX,,,,,178,Y,,100,0,Y,43,,865.9,bog,,peat plateau,treed : coniferous,Y,,,,,Sphagnum; Rhododendron groenlandicum
3,Z-1970-3,Z-1970-3,54.87,-102.08,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",SK,1970,,,ZMX,,,,,218,Y,,100,0,Y,38,,1019.6,bog,,peat plateau,treed : coniferous,Y,,,,,Sphagnum; Rhododendron groenlandicum
4,Z-1970-4,Z-1970-4,54.95,-102.73,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",SK,1970,,,ZMX,,,,,71,Y,,100,0,Y,47,,309.1,bog,,peat plateau,treed : coniferous,Y,,,,,Sphagnum; Rhododendron groenlandicum
5,Z-1970-5,Z-1970-5,55.12,-102.87,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",SK,1970,,,ZMX,,,,,292,Y,,100,0,Y,48,,1435.2,bog,,peat plateau,treed : coniferous,Y,,,,,Sphagnum; Rhododendron groenlandicum
6,Z-1970-6,Z-1970-6,55.13,-102.87,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",SK,1970,,,ZMX,,,,,351,Y,,100,0,Y,60,,1680.9,bog,,palsa,treed : coniferous,Y,,,,,Sphagnum; feathermoss
7,Z-1970-7,Z-1970-7,55.2,-102.92,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",SK,1970,,,ZMX,,,,,259,Y,,100,0,Y,61,,1291.6,bog,,palsa,treed : coniferous,Y,,,,,Sphagnum; feathermoss
8,Z-1970-8,Z-1970-8,54.72,-102,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",SK,1970,,,ZMX,,,,,511,Y,,100,0,Y,43,,2486.1,bog,,peat plateau,treed : coniferous,Y,,,,,Sphagnum; feathermoss
9,Z-1970-9,Z-1970-9,54.72,-102.07,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",SK,1970,,,ZMX,,,,,328,Y,,100,0,Y,36,,1720.7,bog,,peat plateau,treed : coniferous,Y,,,,,Sphagnum; Rhododendron groenlandicum
10,Z-1970-10,Z-1970-10,54.73,-102.07,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",SK,1970,,,ZMX,,,,,223,Y,,100,0,Y,51,,1151,bog,,peat plateau,treed : coniferous,Y,,,,,Sphagnum; Rhododendron groenlandicum
11,Z-1970-11,Z-1970-11,54.73,-101.83,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",MB,1970,,,ZMX,,,,,455,Y,,100,0,Y,63,,2388,bog,,peat plateau,treed : coniferous,Y,,,,,Sphagnum; Rhododendron groenlandicum
12,Z-1970-12,Z-1970-12,54.6,-102,DD.2,"Format in Zoltai et al (2000) is DD.2, as entered. Co-ordinates were originally recorded as DD MM by the researcher.",SK,1970,,,ZMX,,,,,339,Y,,100,0,Y,46,,1529.3,bog,,peat plateau,treed : coniferous,Y,,,,,Sphagnum; Rhododendron groenlandicum
