"","UniquePeatCombo","term","estimate"
"1","ArcticCordillera-permafrost","a",0.378063287532227
"2","ArcticCordillera-permafrost","b",1.0558190701723
"3","AtlanticMaritime-bog","a",0.280730501355639
"4","AtlanticMaritime-bog","b",1.07815520718137
"5","AtlanticMaritime-rich fen","a",0.346622677239324
"6","AtlanticMaritime-rich fen","b",1.06207259444913
"7","AtlanticMaritime-swamp","a",0.390699826048605
"8","AtlanticMaritime-swamp","b",1.05350785411873
"9","BorealCordillera-permafrost","a",0.258620330037243
"10","BorealCordillera-permafrost","b",1.08475080315466
"11","BorealPlains-bog","a",0.36481717922159
"12","BorealPlains-bog","b",1.05836155471349
"13","BorealPlains-permafrost","a",0.383191996451988
"14","BorealPlains-permafrost","b",1.05486806913747
"15","BorealPlains-poor fen","a",0.387080253002694
"16","BorealPlains-poor fen","b",1.0541589682432
"17","BorealPlains-rich fen","a",0.427131066609442
"18","BorealPlains-rich fen","b",1.04739849186406
"19","BorealPlains-swamp","a",0.487835004307393
"20","BorealPlains-swamp","b",1.03872106892644
"21","BorealShield-bog","a",0.373594370709827
"22","BorealShield-bog","b",1.05666266571006
"23","BorealShield-permafrost","a",0.392024314304206
"24","BorealShield-permafrost","b",1.05327172351602
"25","BorealShield-poor fen","a",0.395923661863209
"26","BorealShield-poor fen","b",1.05258305585863
"27","BorealShield-rich fen","a",0.441877495891449
"28","BorealShield-rich fen","b",1.04513323048886
"29","BorealShield-swamp","a",0.499544307578845
"30","BorealShield-swamp","b",1.03722629564134
"31","HudsonPlains-bog","a",0.338251620281495
"32","HudsonPlains-bog","b",1.06387247680695
"33","HudsonPlains-permafrost","a",0.362102416343623
"34","HudsonPlains-permafrost","b",1.05889866717343
"35","HudsonPlains-poor fen","a",0.343373822270746
"36","HudsonPlains-poor fen","b",1.06276389399392
"37","HudsonPlains-rich fen","a",0.400007016763038
"38","HudsonPlains-rich fen","b",1.05187212008037
"39","MixedwoodPlains-bog","a",0.466296493903739
"40","MixedwoodPlains-bog","b",1.04161204149686
"41","MixedwoodPlains-rich fen","a",0.527593038191491
"42","MixedwoodPlains-rich fen","b",1.0338458477504
"43","MontaneCordillera-rich fen","a",0.412380665937386
"44","MontaneCordillera-rich fen","b",1.04977929029907
"45","NorthernArctic-permafrost","a",0.495231873756686
"46","NorthernArctic-permafrost","b",1.0377707932794
"47","PacificMaritime-bog","a",0.502067699945826
"48","PacificMaritime-bog","b",1.03691086750682
"49","PacificMaritime-rich fen","a",0.55722288191961
"50","PacificMaritime-rich fen","b",1.03055144108434
"51","Prairies-permafrost","a",0.395243111963451
"52","Prairies-permafrost","b",1.05270255480172
"53","Prairies-rich fen","a",0.427155525948629
"54","Prairies-rich fen","b",1.04739464191825
"55","SouthernArctic-permafrost","a",0.409495276196917
"56","SouthernArctic-permafrost","b",1.05025925544101
"57","TaigaCordillera-permafrost","a",0.357799366997998
"58","TaigaCordillera-permafrost","b",1.0597616700049
"59","TaigaPlains-bog","a",0.373884122191826
"60","TaigaPlains-bog","b",1.05660753945591
"61","TaigaPlains-permafrost","a",0.398639061198859
"62","TaigaPlains-permafrost","b",1.05210913821622
"63","TaigaPlains-poor fen","a",0.390491609672833
"64","TaigaPlains-poor fen","b",1.05354507747952
"65","TaigaPlains-rich fen","a",0.433778267804222
"66","TaigaPlains-rich fen","b",1.04636370446342
"67","TaigaShield-bog","a",0.459240627875606
"68","TaigaShield-bog","b",1.04260162514956
"69","TaigaShield-permafrost","a",0.478111639394732
"70","TaigaShield-permafrost","b",1.04000269887736
"71","TaigaShield-poor fen","a",0.467174370527339
"72","TaigaShield-poor fen","b",1.04149043747169
