YEAR,SITE,SUBSITE,Unique_Site,CaMPClass1,CaMPClass2,NUTRIENTS_UNCODED_V2,NUTRIENTS_UNCODED_V3,PRIM_CLASS,PRIM_FORM,SEC_CLASS_1,SEC_CLASS_2,SEC_CLASS_3,PERMAFROST,PROV,LATN,Mins,LAT_deg,LAT_Min_round,LONGW,Mins,LONG_deg,LONG_Min_round,ECPROV_UNCODED,ECREGION_UNCODED,WETREGION_UNCODED,PEATDEPTH,IS_PEATDEPTH_EXTENDED,PFUPPER,PFLOWER,IS_PFLOWER_EXTENDED,WTDEPTH,WETTYPE,WETTYPE_UNCODED,NOTES
1970,1,,1970-1,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Treed (coniferous),Mound,Not determined,#N/A,Saskatchewan,54.82,49.2,54,49,102.02,1.2,102,1,Boreal,Subhumid High Boreal ,Continental High Boreal,338,N,46,178,N,N/D,1,Bog,bS-Ledum
1970,10,,1970-10,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Peat plateau,Treed (coniferous),Mound,Not determined,#N/A,Saskatchewan,54.73,43.8,54,44,102.07,4.2,102,4,Boreal,Subhumid High Boreal ,Continental High Boreal,223,N,51,187,N,N/D,1,Bog,bS-Ledum
1970,11,,1970-11,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Peat plateau,Treed (coniferous),Mound,Not determined,#N/A,Manitoba,54.73,43.8,54,44,101.83,49.8,101,50,Boreal,Subhumid High Boreal ,Continental High Boreal,455,N,63,343,N,N/D,1,Bog,bS-Ledum
1970,12,,1970-12,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Peat plateau,Treed (coniferous),Not determined,Not determined,#N/A,Saskatchewan,54.6,36,54,36,102,0,102,0,Boreal,Subhumid High Boreal ,Continental High Boreal,339,N,46,178,N,N/D,1,Bog,bS-Ledum
1970,13,,1970-13,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Peat plateau,Open or treeless,Not determined,Not determined,#N/A,Saskatchewan,54.78,46.8,54,47,102.47,28.2,102,28,Boreal,Subhumid High Boreal ,Continental High Boreal,190,N,43,107,N,N/D,1,Bog,bS-Ledum
1970,14,,1970-14,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Peat plateau,Open or treeless,Not determined,Not determined,#N/A,Saskatchewan,54.85,51,54,51,102.5,30,102,30,Boreal,Subhumid High Boreal ,Continental High Boreal,178,N,48,114,N,N/D,1,Bog,bS-Ledum
1970,15,,1970-15,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Peat plateau,Open or treeless,Mound,Not determined,#N/A,Manitoba,54.75,45,54,45,101.73,43.8,101,44,Boreal,Subhumid High Boreal ,Continental High Boreal,221,N,41,142,N,N/D,1,Bog,bS-Ledum
1970,16,,1970-16,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Peat plateau,Treed (coniferous),Mound,Not determined,#N/A,Saskatchewan,54.32,19.2,54,19,102.12,7.2,102,7,Boreal,Subhumid Mid-Boreal,Continental High Boreal,157,Y,41,152,N,N/D,1,Bog,bS-featherm
1970,17,,1970-17,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Peat plateau,Treed (coniferous),Mound,Not determined,#N/A,Saskatchewan,54.32,19.2,54,19,102.42,25.2,102,25,Boreal,Subhumid Mid-Boreal,Continental High Boreal,206,Y,46,206,Y,N/D,1,Bog,bS-featherm
1970,18,,1970-18,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Peat plateau,Treed (coniferous),Mound,Not determined,#N/A,Saskatchewan,54.15,9,54,9,103.55,33,103,33,Boreal,Subhumid Mid-Boreal,Continental High Boreal,208,Y,74,208,Y,N/D,1,Bog,bS-featherm
