YEAR,SITE,SUBSITE,CONCAT,,CaMPTree,CaMPNutrient,CaMP_Class,,SAMPLE,UPPER,THICK,MIDDEPTH,DEPTHCLASS,LOGDEPTH,U_F,POSN,BD,T_ASH,OMD,VP,MATERIAL,PeatMin,PeatC_dens,CONTAMINAT,PH,ECOPROV,ECOREGION,WETREGION,PERMAFROST,MAT,,,forested bog,1,,,,
1981,24,,198124,1,forested,bog,forested bog,1,800,0,6,3,1,0,U,1,0.034,1.7,0.0334,1,1,Peat,0.0176,F,4.4,BO,MBs,BHc,N,0,,,forested bog,1,,,,
1981,24,,198124,1,forested,bog,forested bog,0,801,6,20,16,2,0.6931471806,U,1,0.041,1.6,0.0403,2,1,Peat,0.0212,F,4.4,BO,MBs,BHc,N,0,,,forested bog,1,,,,
1981,24,,198124,1,forested,bog,forested bog,0,802,26,11,31.5,3,1.0986122887,U,1,0.048,2.7,0.0467,2,1,Peat,0.0246,F,4.4,BO,MBs,BHc,N,0,,,forested bog,1,,,,
1981,24,,198124,1,forested,bog,forested bog,0,803,37,25,49.5,4,1.3862943611,U,2,0.094,3.5,0.0907,4,1,Peat,0.0477,F,4.4,BO,MBs,BHc,N,0,,,forested bog,1,,,,
1981,24,,198124,1,forested,bog,forested bog,0,804,62,18,71,5,1.6094379124,U,2,0.081,2.3,0.0791,4,1,Peat,0.0416,F,4.6,BO,MBs,BHc,N,0,,,forested bog,1,,,,
1981,24,,198124,1,forested,bog,forested bog,0,805,80,15,87.5,6,1.7917594692,U,2,0.089,2.7,0.0866,5,1,Peat,0.0455,F,4.5,BO,MBs,BHc,N,0,,,forested bog,1,,,,
1981,24,,198124,1,forested,bog,forested bog,0,806,95,17,103.5,7,1.9459101491,U,2,0.1,2.7,0.0973,5,2,Peat,0.0512,F,4.6,BO,MBs,BHc,N,0,,,forested bog,1,,,,
1981,24,,198124,1,forested,bog,forested bog,0,807,112,16,120,9,2.1972245773,U,2,0.131,3.2,0.1268,6,2,Peat,0.0667,F,4.7,BO,MBs,BHc,N,0,,,forested bog,1,,,,
1981,24,,198124,1,forested,bog,forested bog,0,808,128,14,135,10,2.302585093,U,2,0.108,3.6,0.1041,5,2,Peat,0.0547,F,4.7,BO,MBs,BHc,N,0,,,forested bog,1,,,,
1981,24,,198124,1,forested,bog,forested bog,0,809,142,22,153,11,2.3978952728,U,2,0.103,3.8,0.0991,5,2,Peat,0.0521,F,4.7,BO,MBs,BHc,N,0,,,forested bog,1,,,,
1981,24,,198124,1,forested,bog,forested bog,0,810,164,15,171.5,12,2.4849066498,U,2,0.14,3.7,0.1348,5,3,Peat,0.0709,F,4.7,BO,MBs,BHc,N,0,,,forested bog,1,,,,
1981,24,,198124,1,forested,bog,forested bog,0,811,179,20,189,13,2.5649493575,U,2,0.157,6.6,0.1466,6,6,Peat,0.0771,F,4.7,BO,MBs,BHc,N,0,,,forested bog,1,,,,
1981,24,,198124,1,forested,bog,forested bog,0,812,199,15,206.5,14,2.6390573296,U,2,0.148,5.5,0.1399,6,3,Peat,0.0735,F,4.8,BO,MBs,BHc,N,0,,,forested bog,1,,,,
1981,24,,198124,1,forested,bog,forested bog,0,813,214,13,220.5,15,2.7080502011,U,2,0.143,5.7,0.1348,6,6,Peat,0.0709,F,4.7,BO,MBs,BHc,N,0,,,forested bog,1,,,,
1981,24,,198124,1,forested,bog,forested bog,0,814,227,15,234.5,16,2.7725887222,U,2,0.129,6.8,0.1202,6,6,Peat,0.0632,F,4.7,BO,MBs,BHc,N,0,,,forested bog,1,,,,
1981,24,,198124,1,forested,bog,forested bog,0,815,242,14,249,17,2.8332133441,U,2,0.148,7.8,0.1365,6,6,Peat,0.0717,F,4.9,BO,MBs,BHc,N,0,,,forested bog,1,,,open bog,13
1981,24,,198124,1,forested,bog,forested bog,0,816,256,16,264,18,2.8903717579,U,2,0.128,7.9,0.1179,6,6,Peat,0.062,F,4.9,BO,MBs,BHc,N,0,,,forested bog,1,,,treed bog,42
1981,24,,198124,1,forested,bog,forested bog,0,817,272,8,276,19,2.9444389792,U,2,0.149,8,0.1371,6,6,Peat,0.0721,F,5,BO,MBs,BHc,N,0,,,forested bog,1,,,forested bog,35
1981,24,,198124,1,forested,bog,forested bog,0,818,280,17,288.5,20,2.9957322736,U,2,0.178,8.9,0.1622,7,6,Peat,0.0853,F,5,BO,MBs,BHc,N,0,,,forested bog,1,,,open poor,25
1981,29,,198129,2,forested,bog,forested bog,1,904,0,22,11,1,0,U,1,0.053,3.5,0.0511,1,1,Peat,0.0269,F,4.2,BO,MBs,BMc,N,0.9,,,forested bog,1,,,treed poor,12
1981,29,,198129,2,forested,bog,forested bog,0,905,22,4,24,2,0.6931471806,F,1,0.104,6.2,0.0976,2,3,Peat,0.0513,F,4.4,BO,MBs,BMc,N,0.9,,,forested bog,1,,,forested poor,10
1981,29,,198129,2,forested,bog,forested bog,0,906,26,12,32,3,1.0986122887,U,1,0.064,10.2,0.0575,2,2,Peat,0.0302,F,5,BO,MBs,BMc,N,0.9,,,forested bog,1,,,open rich,95
1981,29,,198129,2,forested,bog,forested bog,0,907,38,39,57.5,4,1.3862943611,U,2,0.102,8.2,0.0936,4,6,Peat,0.0492,F,4.9,BO,MBs,BMc,N,0.9,,,forested bog,1,,,treed rich,44
1981,29,,198129,2,forested,bog,forested bog,0,908,77,15,84.5,6,1.7917594692,U,2,0.108,8.3,0.099,5,3,Peat,0.0521,F,4.9,BO,MBs,BMc,N,0.9,,,forested bog,1,,,forested rich,37
1981,29,,198129,2,forested,bog,forested bog,0,909,92,16,100,7,1.9459101491,U,2,0.096,7.8,0.0885,5,6,Peat,0.0465,F,5,BO,MBs,BMc,N,0.9,,,forested bog,1,,,treed swamp,4
1981,29,,198129,2,forested,bog,forested bog,0,910,108,14,115,8,2.0794415417,U,2,0.087,8.4,0.0797,5,6,Peat,0.0419,F,5,BO,MBs,BMc,N,0.9,,,forested bog,1,,,forested swamp,19
1981,29,,198129,2,forested,bog,forested bog,0,911,122,16,130,9,2.1972245773,U,2,0.099,8.3,0.0908,5,6,Peat,0.0477,F,5,BO,MBs,BMc,N,0.9,,,forested bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,912,138,5,140.5,10,2.302585093,U,2,0.12,12.5,0.105,6,6,Peat,0.0552,F,5,BO,MBs,BMc,N,0.9,,,forested bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,913,143,17,151.5,11,2.3978952728,U,2,0.126,10.4,0.1129,6,10,Peat,0.0594,F,5,BO,MBs,BMc,N,0.9,,,forested bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,914,160,16,168,12,2.4849066498,U,2,0.125,11.5,0.1106,6,10,Peat,0.0582,F,5.1,BO,MBs,BMc,N,0.9,,,forested bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,915,176,16,184,13,2.5649493575,U,2,0.11,10.3,0.0987,5,10,Peat,0.0519,F,5.1,BO,MBs,BMc,N,0.9,,,forested bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,916,192,12,198,14,2.6390573296,U,2,0.086,10.6,0.0769,5,6,Peat,0.0404,F,5.1,BO,MBs,BMc,N,0.9,,,forested bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,917,210,15,217.5,15,2.7080502011,U,2,0.096,11.1,0.0853,5,10,Peat,0.0449,F,5.1,BO,MBs,BMc,N,0.9,,,forested bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,918,225,13,231.5,16,2.7725887222,U,2,0.122,14,0.1049,6,6,Peat,0.0552,F,5.1,BO,MBs,BMc,N,0.9,,,forested bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,919,238,17,246.5,17,2.8332133441,U,2,0.124,12.2,0.1089,6,6,Peat,0.0572,F,5.1,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,920,255,15,262.5,18,2.8903717579,U,2,0.124,11.2,0.1101,5,10,Peat,0.0579,F,5.3,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,921,270,18,279,19,2.9444389792,U,2,0.118,11.2,0.1048,5,6,Peat,0.0551,F,5.3,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,922,288,18,297,20,2.9957322736,U,2,0.106,10.4,0.095,5,6,Peat,0.0499,F,5.3,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,923,306,14,313,21,3.0445224377,U,2,0.114,8.3,0.1045,5,5,Peat,0.055,F,5.3,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,924,320,14,327,22,3.0910424534,U,2,0.121,25.8,0.0898,6,6,Peat,0.0472,F,5.3,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,925,334,12,340,23,3.1354942159,U,2,0.116,16,0.0974,6,5,Peat,0.0512,F,5.3,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,926,346,14,353,24,3.1780538303,U,2,0.126,18,0.1033,6,5,Peat,0.0543,F,5.4,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,927,366,21,376.5,26,3.258096538,U,2,0.101,31.6,0.0691,,8,Peat,0.0363,F,5.3,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,928,381,15,388.5,26,3.258096538,U,2,0.107,23.1,0.0823,,8,Peat,0.0433,F,5.3,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,929,396,14,403,27,3.295836866,U,2,0.109,23,0.0839,,8,Peat,0.0441,F,5.3,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,930,410,15,417.5,28,3.3322045102,U,2,0.108,27.1,0.0787,,8,Peat,0.0414,F,5.3,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,931,425,10,430,29,3.36729583,U,2,0.113,39.3,0.0686,,8,Peat,0.0361,F,5.4,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,932,435,16,443,30,3.4011973817,U,2,0.111,43.5,0.0627,,8,Peat,0.033,F,5.5,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,933,451,19,460.5,31,3.4339872045,U,2,0.141,55.2,0.0632,,8,Peat,0.0332,F,5.5,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,934,470,28,484,33,3.4965075615,U,2,0.149,63.3,0.0547,,8,Peat,0.0288,F,5.5,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,29,,198129,2,forested,bog,forested bog,0,935,498,19,507.5,34,3.5263605246,U,2,0.146,54.7,0.0661,,8,Peat,0.0348,F,5.4,BO,MBs,BMc,N,0.9,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,1,980,0,5,2.5,1,0,U,1,0.086,13.6,0.0743,1,3,Peat,0.0391,F,3.9,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
1981,32,,198132,3,forested,bog,forested bog,0,981,5,27,18.5,2,0.6931471806,U,1,0.053,7.3,0.0491,2,1,Peat,0.0258,F,4.7,BO,MBs,BHc,N,0.7,,,treed bog,1,,,,
