CaMPTree	CaMPNutrient	CaMPClass	MIDDEPTH	DEPTHCLASS	PeatC_dens	Core_C_density
forested	bog	forested bog	7.5	1	0.025	3.7
forested	bog	forested bog	22.5	2	0.035	8.9
forested	bog	forested bog	37.5	3	0.041	15.0
forested	bog	forested bog	52.5	4	0.045	21.8
forested	bog	forested bog	67.5	5	0.049	29.1
forested	bog	forested bog	82.5	6	0.051	36.8
forested	bog	forested bog	97.5	7	0.054	44.8
forested	bog	forested bog	112.5	8	0.056	53.2
forested	bog	forested bog	127.5	9	0.057	61.8
forested	bog	forested bog	142.5	10	0.059	70.6
forested	bog	forested bog	157.5	11	0.060	79.6
forested	bog	forested bog	172.5	12	0.062	88.9
forested	bog	forested bog	187.5	13	0.063	98.3
forested	bog	forested bog	202.5	14	0.064	107.9
forested	bog	forested bog	217.5	15	0.065	117.6
forested	bog	forested bog	232.5	16	0.066	127.5
forested	bog	forested bog	247.5	17	0.067	137.5
forested	bog	forested bog	262.5	18	0.068	147.7
forested	bog	forested bog	277.5	19	0.068	157.9
forested	bog	forested bog	292.5	20	0.069	168.3
treed	bog	treed bog	7.5	1	0.022	3.3
treed	bog	treed bog	22.5	2	0.033	8.3
treed	bog	treed bog	37.5	3	0.039	14.1
treed	bog	treed bog	52.5	4	0.043	20.5
treed	bog	treed bog	67.5	5	0.046	27.5
treed	bog	treed bog	82.5	6	0.049	34.8
treed	bog	treed bog	97.5	7	0.051	42.5
treed	bog	treed bog	112.5	8	0.053	50.5
treed	bog	treed bog	127.5	9	0.055	58.8
treed	bog	treed bog	142.5	10	0.057	67.3
treed	bog	treed bog	157.5	11	0.058	76.0
treed	bog	treed bog	172.5	12	0.059	84.9
treed	bog	treed bog	187.5	13	0.061	94.0
treed	bog	treed bog	202.5	14	0.062	103.3
treed	bog	treed bog	217.5	15	0.063	112.7
treed	bog	treed bog	232.5	16	0.064	122.3
treed	bog	treed bog	247.5	17	0.065	131.9
treed	bog	treed bog	262.5	18	0.065	141.8
treed	bog	treed bog	277.5	19	0.066	151.7
treed	bog	treed bog	292.5	20	0.067	161.8
open	bog	open bog	7.5	1	0.020	2.9
open	bog	open bog	22.5	2	0.030	7.4
open	bog	open bog	37.5	3	0.036	12.8
open	bog	open bog	52.5	4	0.040	18.8
open	bog	open bog	67.5	5	0.044	25.4
open	bog	open bog	82.5	6	0.046	32.3
open	bog	open bog	97.5	7	0.049	39.6
open	bog	open bog	112.5	8	0.051	47.2
open	bog	open bog	127.5	9	0.052	55.0
open	bog	open bog	142.5	10	0.054	63.1
open	bog	open bog	157.5	11	0.055	71.4
open	bog	open bog	172.5	12	0.057	79.9
open	bog	open bog	187.5	13	0.058	88.5
open	bog	open bog	202.5	14	0.059	97.4
open	bog	open bog	217.5	15	0.060	106.4
open	bog	open bog	232.5	16	0.061	115.5
open	bog	open bog	247.5	17	0.062	124.8
open	bog	open bog	262.5	18	0.063	134.2
open	bog	open bog	277.5	19	0.063	143.7
open	bog	open bog	292.5	20	0.064	153.3
open	bog	open bog	7.5	1	0.020	2.9
open	bog	open bog	22.5	2	0.030	7.4
open	bog	open bog	37.5	3	0.036	12.8
open	bog	open bog	52.5	4	0.040	18.8
open	bog	open bog	67.5	5	0.044	25.4
open	bog	open bog	82.5	6	0.046	32.3
open	bog	open bog	97.5	7	0.049	39.6
open	bog	open bog	112.5	8	0.051	47.2
open	bog	open bog	127.5	9	0.052	55.0
open	bog	open bog	142.5	10	0.054	63.1
open	bog	open bog	157.5	11	0.055	71.4
open	bog	open bog	172.5	12	0.057	79.9
open	bog	open bog	187.5	13	0.058	88.5
open	bog	open bog	202.5	14	0.059	97.4
open	bog	open bog	217.5	15	0.060	106.4
open	bog	open bog	232.5	16	0.061	115.5
open	bog	open bog	247.5	17	0.062	124.8
open	bog	open bog	262.5	18	0.063	134.2
open	bog	open bog	277.5	19	0.063	143.7
open	bog	open bog	292.5	20	0.064	153.3
treed	poor fen	treed poor fen	7.5	1	0.031	4.6
treed	poor fen	treed poor fen	22.5	2	0.038	10.3
treed	poor fen	treed poor fen	37.5	3	0.042	16.6
