ID,X,Y,YEAR,SITE,UID,NUTRIENTS,PRIM_CLASS,SEC_CLASS,PROV,Ecozone,LATN,LONGW,ECPROV,ECREGION,WETREGION,PEATDEPTH,WTDEPTH,WETTYPE,CWFIS_date,YEAR,MONTH,DAY,SampleDate,Card_Date_Notes,stackID,out_dc,dc_class,ECOPROV
125,-404808.4068,675883.4255,1982,34,1982-34,,basin_bog,treed_conif,MB,,54.95,-101.45,BO,HBs,BHc,218,-32,bog,dc820715,82,07,15,1982-07-15,,468,256,2,Western Boreal Shield
256,-448197.2181,644251.5966,1984,8,Aug-84,,basin_bog,treed_conif,SK,,54.62,-102.08,BO,HBs,BHc,374,-35,bog,dc840610,84,06,10,1984-06-10,,795,98,0,Western Boreal Shield
264,-465193.9102,673692.9416,1984,16,1984-16,,northern plateau,treed_conif,SK,,54.87,-102.4,BO,HBs,BHc,166,-48,bog,dc840614,84,06,14,1984-06-14,,799,124,1,Western Boreal Shield
158,-230284.6352,645562.9192,1982,60,1982-60,1,basin_bog,shrub,MB,,54.8,-98.65,BO,HBs,BHc,244,-50,bog,dc820807,82,08,07,1982-08-07,,491,255,2,Western Boreal Shield
120,-416097.7989,646288.471,1982,29,1982-29,1,basin_bog,treed_conif,MB,,54.67,-101.58,BO,HBs,BHc,317,-20,bog,dc820713,82,07,13,1982-07-13,,466,233,2,Western Boreal Shield
124,-408017.9619,663033.4489,1982,32,1982-32,1,basin_bog,treed_conif,MB,,54.83,-101.48,BO,HBs,BHc,146,-38,bog,dc820715,82,07,15,1982-07-15,,468,247,2,Western Boreal Shield
159,-251762.188,635904.9715,1982,61,1982-61,1,basin_bog,treed_conif,MB,,54.7,-98.98,BO,HBs,BHc,247,-35,bog,dc820808,82,08,08,1982-08-08,,492,269,2,Western Boreal Shield
162,-234878.0014,653490.6704,1982,64,1982-64,1,basin_bog,treed_conif,MB,,54.87,-98.73,BO,HBs,BHc,123,-60,bog,dc820810,82,08,10,1982-08-10,,494,269,2,Western Boreal Shield
257,-443163.0811,672279.2118,1984,9,Sep-84,1,basin_bog,treed_conif,SK,,54.88,-102.05,BO,HBs,BHc,421,-21,bog,dc840611,84,06,11,1984-06-11,,796,107,1,Western Boreal Shield
258,-489499.1355,672205.6205,1984,10,Oct-84,1,basin_bog,treed_conif,SK,,54.83,-102.78,BO,HBs,BHc,270,-21,bog,dc840611,84,06,11,1984-06-11,,796,109,1,Western Boreal Shield
265,-431579.9224,662215.5054,1984,17,1984-17,1,basin_bog,treed_conif,SK,,54.8,-101.85,BO,HBs,BHc,395,-21,bog,dc840615,84,06,15,1984-06-15,,800,130,1,Western Boreal Shield
267,-436803.4696,655088.7582,1984,19,1984-19,1,basin_bog,treed_conif,SK,,54.73,-101.92,BO,HBs,BHc,124,-18,bog,dc840615,84,06,15,1984-06-15,,800,131,1,Western Boreal Shield
299,-603962.4198,765271.4099,1984,44,1984-44,1,basin_bog,treed_conif,SK,,55.53,-104.8,BO,HBs,BHc,566,-39,bog,dc840717,84,07,17,1984-07-17,,832,252,2,Western Boreal Shield
310,-614687.7689,744860.5789,1984,54,1984-54,1,basin_bog,treed_conif,SK,,55.33,-104.92,BO,HBs,BHc,375,-31,bog,dc840722,84,07,22,1984-07-22,,837,227,2,Western Boreal Shield
161,-220530.1829,650485.7754,1982,63,1982-63,2,palsa,collapse scar_bog,MB,,54.85,-98.5,BO,HBs,BHc,280,-17,bog,dc820809,82,08,09,1982-08-09,,493,246,2,Western Boreal Shield
122,-405837.4744,678184.146,1982,31,1982-31,4,palsa,collapse scar_bog,MB,,54.97,-101.47,BO,HBs,BHc,184,-5,bog,dc820714,82,07,14,1982-07-14,,467,249,2,Western Boreal Shield
135,-407417.2025,637705.688,1982,40,1982-40,4,palsa,collapse scar_bog,MB,,54.6,-101.43,BO,HBs,BMc,221,0,bog,dc820719,82,07,19,1982-07-19,,472,278,2,Western Boreal Shield
148,-275655.1233,629804.1719,1982,50,1982-50,4,palsa,collapse scar_bog,MB,,54.63,-99.35,BO,HBs,BHc,127,-8,bog,dc820802,82,08,02,1982-08-02,,486,321,3,Western Boreal Shield
160,-220530.1829,650485.7754,1982,63,1982-63,4,palsa,collapse scar_bog,MB,,54.85,-98.5,BO,HBs,BHc,361,-14,bog,dc820809,82,08,09,1982-08-09,,493,246,2,Western Boreal Shield
210,-31687.43299,175327.1704,1983,29,1983-29,1,basin_bog,treed_conif,MB,,50.58,-95.45,BO,MBs,BMc,597,-65,bog,dc830715,83,07,15,1983-07-15,,649,274,2,Mid-Boreal Shield
211,-33136.60094,169807.4185,1983,30,1983-30,1,basin_bog,treed_conif,MB,,50.53,-95.47,BO,MBs,BMc,476,-32,bog,dc830715,83,07,15,1983-07-15,,649,270,2,Mid-Boreal Shield
208,-85706.77212,111816.8722,1983,28,1983-28,,domed,treed_conif,MB,,50,-96.2,BO,LBs,BMc,305,-43,bog,dc830714,83,07,14,1983-07-14,,648,237,2,Lake of the Woods
212,-46052.97564,147790.6418,1983,31,1983-31,1,basin_bog,centre,MB,,50.33,-95.65,BO,LBst,BL,195,-61,bog,dc830716,83,07,16,1983-07-16,,650,265,2,Lake of the Woods
178,-45140.70102,96823.17846,1983,10,Oct-83,1,basin_bog,treed_conif,MB,,49.87,-95.63,BO,LBst,BL,292,-31,bog,dc830622,83,06,22,1983-06-22,,626,139,1,Lake of the Woods
203,-43938.31173,146662.5981,1983,25,1983-25,1,basin_bog,treed_conif,MB,,50.32,-95.62,BO,LBst,BL,130,-42,bog,dc830712,83,07,12,1983-07-12,,646,226,2,Lake of the Woods
